uid,gender,score,is_habit_drink,is_habit_smoke,is_subscribed,A,B,C,D,E
122,F,165,1,0,0,1.0,8.0,10.0,44.0,44.0
123,F,204,2,0,0,8.0,10.0,12.0,65.0,29.0
124,F,224,2,2,0,8.0,10.0,62.0,73.0,29.0
125,F,71,2,1,0,32.0,8.0,46.0,44.0,44.0
126,F,65,0,0,0,25.0,8.0,13.0,1.0,15.0
127,F,247,0,0,0,1.0,8.0,10.0,44.0,44.0
128,F,282,0,0,0,2.0,8.0,22.0,12.0,42.0
129,F,37,2,2,0,2.0,42.0,28.0,35.0,68.0
13,F,177,0,0,0,20.0,69.0,11.0,18.0,15.0
130,F,102,3,3,1,1.0,8.0,10.0,44.0,44.0
131,F,108,2,0,0,10.0,2.0,33.0,3.0,56.0
132,F,134,2,0,0,1.0,22.0,44.0,44.0,28.0
133,F,133,2,0,0,1.0,18.0,22.0,40.0,14.0
134,F,191,0,0,0,1.0,8.0,10.0,44.0,44.0
135,F,596,2,0,0,1.0,8.0,10.0,44.0,44.0
136,F,113,2,0,0,7.0,39.0,34.0,28.0,35.0
137,F,120,3,3,0,1.0,8.0,10.0,44.0,44.0
138,F,183,2,0,0,33.0,68.0,31.0,44.0,14.0
139,F,121,0,0,0,1.0,8.0,10.0,44.0,44.0
14,F,267,2,0,0,8.0,2.0,21.0,69.0,9.0
140,F,102,0,2,0,10.0,18.0,2.0,28.0,17.0
141,F,62,2,0,0,1.0,22.0,38.0,56.0,68.0
142,F,119,2,2,0,8.0,22.0,39.0,34.0,26.0
143,F,453,0,0,0,10.0,11.0,76.0,47.0,49.0
144,F,45,1,0,0,11.0,10.0,21.0,33.0,38.0
145,F,222,3,3,0,1.0,8.0,10.0,44.0,44.0
146,F,207,0,0,0,1.0,8.0,10.0,44.0,44.0
147,F,259,0,0,0,1.0,8.0,10.0,44.0,44.0
148,F,72,3,3,1,1.0,8.0,10.0,44.0,44.0
149,F,105,0,0,0,22.0,40.0,70.0,44.0,44.0
15,F,174,1,1,0,18.0,8.0,22.0,10.0,68.0
150,F,441,0,0,1,1.0,21.0,7.0,12.0,38.0
151,F,180,3,3,1,1.0,8.0,10.0,44.0,44.0
152,F,196,2,2,0,8.0,22.0,12.0,33.0,38.0
153,F,147,2,1,0,8.0,22.0,28.0,68.0,24.0
154,F,63,0,0,0,1.0,8.0,10.0,44.0,44.0
156,F,147,0,0,0,34.0,1.0,0.0,21.0,8.0
157,F,121,0,0,0,1.0,22.0,18.0,21.0,72.0
158,F,214,2,2,0,11.0,53.0,20.0,44.0,15.0
